CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOTAL_CENSO_2020,tot_integ,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,transfer,gasto_mon,alimentos,ali_dentro,cereales,carnes,pescado,leche,huevo,aceites,tuberculo,verduras,frutas,azucar,cafe,especias,otros_alim,bebidas,ali_fuera,tabaco,vesti_calz,vestido,calzado,vivienda,alquiler,pred_cons,agua,energia,limpieza,cuidados,utensilios,enseres,salud,ambul_serv,aten_hosp,medic_prod,transporte,publico,foraneo,adqui_vehi,mantenim,refaccion,combus,comunica,educa_espa,educacion,esparci,paq_turist,personales,cuida_pers,acces_pers,pago_tarje,deudas,balance,hogares
30,Veracruz de Ignacio de la Llave,079,Ixhuacán de los Reyes,11387,47775.0,22050.0,25725.0,39375.0,8400.0,35700.0,3675.0,513021747.0,116056568.25,300758377.5,125626152.75,116952470.25,28538690.25,21873206.25,789736.5,7026652.5,5572061.25,6425947.5,3746190.0,19385698.5,5237919.75,8403675.0,229488.0,1457972.25,3547062.75,4718169.75,8673682.5,0.0,22790628.0,11870838.0,10919790.0,13689469.5,0.0,390075.0,99750.0,13199644.5,23256140.25,17318747.25,5152780.5,784612.5,9238687.5,3800485.5,0.0,5438202.0,45980240.25,26689267.5,693341.25,3141432.0,7604341.5,618476.25,6985865.25,7851858.0,33050256.75,24029517.75,5805009.0,3215730.0,22532123.25,21014012.25,1433376.0,988648.5,513586.5,4899594.0,13125.0
30,Veracruz de Ignacio de la Llave,080,Ixhuatlán del Café,23132,53976.0,28545.0,25431.0,42558.0,11418.0,34773.0,7785.0,476056486.8,156259466.43,255951721.56,96675230.28,94906935.0,25927080.96,17514807.18,0.0,10095136.469999999,3830162.9099999997,2939963.7300000004,1101006.6,16868636.61,1841676.6899999997,3449481.6,1373268.8099999998,1161049.71,6726110.25,2078553.48,1768295.28,0.0,8343646.410000001,3878346.87,4465299.54,16967796.75,1557000.0,331511.25,0.0,15079285.5,14426912.879999999,11131745.549999999,1560202.2299999997,1734965.1,19500786.630000003,6473352.06,2030867.76,10996566.809999999,65987933.22,13779372.149999999,801247.77,22972128.51,14441787.42,3573429.18,10868358.24,13993397.370000001,11875420.650000002,7933594.890000001,2410355.37,1531470.39,16050339.690000001,15049775.16,564563.01,0.0,19787586.03,4298918.52,12975.0
30,Veracruz de Ignacio de la Llave,081,Ixhuatlancillo,27295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,082,Ixhuatlán del Sureste,15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,083,Ixhuatlán de Madero,50836,90973.0,43029.0,47944.0,79167.0,11806.0,61299.0,17868.0,743750655.71,276946030.64,624285579.35,289833220.06,266834950.27,44281033.07000001,55016429.92999999,15027819.96,17333540.57,12534434.75,10619977.83,2278661.45,46382274.410000004,6833322.1,5419322.649999999,5791031.49,1026134.31,18022837.54,26268130.209999997,22998269.790000003,0.0,20890262.4,14841981.1,6048281.299999999,37770881.24,4221309.04,30855.0,5824725.0,27693992.2,46977857.379999995,26476958.840000004,4587217.48,15913681.06,53741950.59,18997083.560000002,18110538.599999998,16634328.43,101241940.52000001,44705523.13,2660983.32,0.0,27378114.29,3993995.24,23384119.049999997,26497319.779999997,26577567.55,20843082.509999998,4879342.359999999,855142.6799999999,35551415.75,30959489.53,1243300.31,2967215.94,10148474.18,13980711.500000002,26442.0
30,Veracruz de Ignacio de la Llave,084,Ixmatlahuacan,5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,085,Ixtaczoquitlán,74004,74730.0,31814.0,42916.0,65082.0,9648.0,50938.0,14144.0,1106258690.1399999,353257198.16,739050970.9200001,332961077.0,288866123.86,52218286.24,63800187.58,383861.08,28529339.459999997,10504947.78,4055105.28,5109380.84,35308836.54,12240501.44,1188318.48,3860837.6,2462385.52,49569153.32,19634982.700000003,43153815.86,941137.28,22082299.52,16509619.840000002,5572679.680000001,59051395.480000004,9765000.0,5628893.0,7008205.0,36649297.480000004,43130874.53999999,35257721.96,5940997.18,1932155.4,7418039.399999999,1190242.72,0.0,6227796.679999999,115638028.94000001,46753273.019999996,840300.8,0.0,15415331.719999999,246063.2,15169268.52,52629123.4,77670545.48,70231026.44,7439519.039999999,0.0,70803829.75999999,59591859.919999994,929536.4400000001,4240788.32,33695980.32,0.0,21132.0
30,Veracruz de Ignacio de la Llave,086,Jalacingo,46794,148572.0,70560.0,78012.0,119268.0,29304.0,110052.0,9216.0,1532252651.04,179622987.84000003,1073411642.88,468757431.72,400564517.03999996,107578716.12,99920986.92,1138614.12,21853995.119999997,15941493.000000002,12953409.48,3459762.7199999997,67506748.2,17777632.32,10892725.920000002,2906681.04,3992549.4000000004,18777455.28,15863747.400000002,68192914.68,0.0,70658440.92,39017285.28,31641155.64,83879675.28,11172749.04,1989297.0,14667246.0,56050383.24,63826932.96,50065400.88,6333236.279999999,7428295.800000001,22013765.28,8703557.64,0.0,13310207.64,156947642.28,39264215.4,526724.64,0.0,59038831.8,3191301.3600000003,55847530.44,58117870.44,112851780.84,86852500.92,25999279.92,0.0,81935199.72,74353633.2,1881174.96,0.0,0.0,6404742.0,39420.0
30,Veracruz de Ignacio de la Llave,087,Xalapa,488531,545340.0,260081.0,285259.0,473575.0,71765.0,419051.0,54524.0,11926815075.23,3279458737.0699997,7429621960.83,2739838767.68,2112593181.27,360852377.69,440916855.2099999,33611773.48,220503011.32999998,88635875.28,20394948.18,25596042.46,219927451.02999997,104953079.00999999,16819671.35,30914861.54,14091021.799999999,413117168.08,122259044.83,620532110.02,6713476.39,268466786.61,129278954.91,139187831.70000002,773241071.8599999,291674805.55,35829923.4,161884568.0,283851774.90999997,543791974.1800001,430997809.6700001,39508737.44,73285427.07,247942018.95999998,109102985.44,13857052.9,124981980.61999999,1352784917.31,303329228.05,41827087.239999995,50380431.2,505854343.02,67671153.72,438183189.3,451393827.79999995,804307097.7,456855129.38,295882014.48,51569953.84,523097106.46000004,416921708.73,21192302.200000003,187786915.77999997,162734170.16000003,26432774.490000002,162394.0
30,Veracruz de Ignacio de la Llave,088,Jalcomulco,5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,089,Jáltipan,38669,64178.0,27280.0,36898.0,58140.0,6038.0,41592.0,16548.0,1078290482.7599998,347866374.42,771941170.46,365268569.00000006,344972184.58000004,56533637.38,85937764.42,24753606.7,25112441.299999997,15163878.280000001,8142372.9799999995,7607566.9399999995,33194951.379999995,7653359.779999999,3392937.7,4008146.6999999997,0.0,30524994.599999998,42946526.42,20296384.419999998,0.0,28231287.639999997,15403581.480000002,12827706.16,74228949.56,2596644.44,1368274.5,9966871.0,60297159.620000005,63944812.980000004,60637043.4,2487504.16,820265.42,19351979.28,6018461.199999999,0.0,13333518.08,104696023.92,47771160.64,8926411.64,0.0,12179339.02,0.0,12179339.02,35819112.620000005,42878809.4,38394300.1,3554692.1799999997,929817.12,53277695.45999999,49874256.95999999,2018091.1600000001,0.0,0.0,0.0,33096.0
30,Veracruz de Ignacio de la Llave,090,Jamapa,11132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,091,Jesús Carranza,28524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,092,Xico,39623,40425.0,21525.0,18900.0,33600.0,6825.0,31500.0,2100.0,456113831.25,39637227.0,299669328.0,128899580.25,115622435.25,25868918.25,19878584.25,0.0,12956464.5,4006049.25,3158967.0,1525482.0,16651939.5,6014179.5,4610208.75,661484.25,975350.25,13962149.25,5352658.5,13277145.0,0.0,11031662.25,5520947.25,5510715.0,14710720.5,609677.25,182437.5,563062.5,13355543.25,26000892.75,15844253.25,4188775.5,5967864.0,10326057.0,4514396.25,0.0,5811660.75,54205935.0,20432018.25,0.0,5147089.5,18279255.75,1189508.25,17089747.5,10347571.5,28886429.25,15406634.25,13171646.25,308148.75,25237479.75,19775290.5,848421.0,993783.0,1386682.5,1042902.0,11025.0
30,Veracruz de Ignacio de la Llave,093,Jilotepec,16585,88160.0,51040.0,37120.0,83520.0,4640.0,74240.0,9280.0,1611064097.6000001,148212689.6,1005048963.2,418073233.6,270363102.4,63802598.39999999,64727582.39999999,0.0,15868521.599999998,13601696.0,7904472.0,2982777.5999999996,34421468.8,4235577.6,2684518.4,0.0,0.0,42773932.8,17359956.8,147710131.2,0.0,52212992.0,40829030.400000006,11383961.6,36650292.8,0.0,6762800.0,0.0,29887492.799999997,49756344.00000001,33461035.200000003,12210113.600000001,4085195.1999999997,36072148.800000004,16340780.8,0.0,19731368.0,179460862.4,76957184.0,1475195.2,0.0,52536678.400000006,0.0,52536678.400000006,48491804.800000004,163695905.6,75598267.2,4804627.2,83293011.2,43005329.599999994,38849513.599999994,907816.0,0.0,0.0,2519195.1999999997,27840.0
30,Veracruz de Ignacio de la Llave,094,Juan Rodríguez Clara,38367,55106.0,23350.0,31756.0,45766.0,9340.0,40162.0,5604.0,1127213918.1000001,421093535.74,646642300.34,272617050.14,227573078.84,36873937.059999995,43242630.88,9570782.059999999,26532689.060000006,8734936.120000001,1777252.56,2737908.92,19685208.16,9893740.58,1957337.1,2533773.88,468326.27999999997,40240596.1,23323960.08,44083286.92,960684.3799999999,33490195.16,16541280.100000001,16948915.06,49360358.900000006,15700231.78,824488.5,6390428.0,26445210.62,42238861.08,36057359.54,1779811.7200000002,4401689.82,11791096.200000001,2329919.04,0.0,9461177.160000002,92113358.96000001,21735394.200000003,5324117.5600000005,0.0,31420114.919999998,3552020.6799999997,27868094.240000002,33633732.28,46468517.44,33862506.239999995,12606011.2,0.0,51043380.2,41242750.08,3062660.7199999997,84252198.52,0.0,0.0,20548.0
30,Veracruz de Ignacio de la Llave,095,Juchique de Ferrer,15059,33540.0,16512.0,17028.0,27864.0,5676.0,19092.0,8772.0,446049688.07999986,131802597.23999998,280515561.96000004,127201074.35999998,120825574.44000001,27823891.320000004,31565768.520000003,2189310.6,9337623.72,4444849.800000001,4176246.0,1214044.7999999998,20512852.439999998,2743231.4399999995,2003524.8,3018594.84,1572313.92,6501548.399999999,3721773.84,6103495.68,272004.24,9507454.8,4578287.399999999,4929167.4,27287813.76,9627553.799999999,72240.0,516000.0,17072019.96,24446253.359999996,20915301.479999997,1554708.0000000002,1976243.8799999997,16690515.359999998,9969408.959999997,0.0,6721106.399999999,39359716.31999999,19027025.28,0.0,0.0,9891704.52,0.0,9891704.52,10440986.52,11290709.520000001,5947596.6,5280016.44,63096.48,24732024.480000004,23881310.760000005,657213.72,0.0,0.0,17662.679999999997,11868.0
